Stock,Date,Adj Close
S&P500,12/1/1952,26.57
S&P500,1/1/1953,26.379999
S&P500,2/1/1953,25.9
S&P500,3/1/1953,25.290001
S&P500,4/1/1953,24.620001
S&P500,5/1/1953,24.540001
S&P500,6/1/1953,24.139999
S&P500,7/1/1953,24.75
S&P500,8/1/1953,23.32
S&P500,9/1/1953,23.35
S&P500,10/1/1953,24.540001
S&P500,11/1/1953,24.76
S&P500,12/1/1953,24.809999
S&P500,1/1/1954,26.08
S&P500,2/1/1954,26.15
S&P500,3/1/1954,26.940001
S&P500,4/1/1954,28.26
S&P500,5/1/1954,29.190001
S&P500,6/1/1954,29.209999
S&P500,7/1/1954,30.879999
S&P500,8/1/1954,29.83
S&P500,9/1/1954,32.310001
S&P500,10/1/1954,31.68
S&P500,11/1/1954,34.240002
S&P500,12/1/1954,35.98
S&P500,1/1/1955,36.630001
S&P500,2/1/1955,36.759998
S&P500,3/1/1955,36.580002
S&P500,4/1/1955,37.959999
S&P500,5/1/1955,37.91
S&P500,6/1/1955,41.029999
S&P500,7/1/1955,43.52
S&P500,8/1/1955,43.18
S&P500,9/1/1955,43.669998
S&P500,10/1/1955,42.34
S&P500,11/1/1955,45.509998
S&P500,12/1/1955,45.48
S&P500,1/1/1956,43.82
S&P500,2/1/1956,45.34
S&P500,3/1/1956,48.48
S&P500,4/1/1956,48.380001
S&P500,5/1/1956,45.200001
S&P500,6/1/1956,46.970001
S&P500,7/1/1956,49.389999
S&P500,8/1/1956,47.509998
S&P500,9/1/1956,45.349998
S&P500,10/1/1956,45.580002
S&P500,11/1/1956,45.080002
S&P500,12/1/1956,46.669998
S&P500,1/1/1957,44.720001
S&P500,2/1/1957,43.259998
S&P500,3/1/1957,44.110001
S&P500,4/1/1957,45.740002
S&P500,5/1/1957,47.43
S&P500,6/1/1957,47.369999
S&P500,7/1/1957,47.91
S&P500,8/1/1957,45.220001
S&P500,9/1/1957,42.419998
S&P500,10/1/1957,41.060001
S&P500,11/1/1957,41.720001
S&P500,12/1/1957,39.990002
S&P500,1/1/1958,41.700001
S&P500,2/1/1958,40.84
S&P500,3/1/1958,42.099998
S&P500,4/1/1958,43.439999
S&P500,5/1/1958,44.09
S&P500,6/1/1958,45.240002
S&P500,7/1/1958,47.189999
S&P500,8/1/1958,47.75
S&P500,9/1/1958,50.060001
S&P500,10/1/1958,51.330002
S&P500,11/1/1958,52.48
S&P500,12/1/1958,55.209999
S&P500,1/1/1959,55.450001
S&P500,2/1/1959,55.41
S&P500,3/1/1959,55.439999
S&P500,4/1/1959,57.59
S&P500,5/1/1959,58.68
S&P500,6/1/1959,58.470001
S&P500,7/1/1959,60.509998
S&P500,8/1/1959,59.599998
S&P500,9/1/1959,56.880001
S&P500,10/1/1959,57.52
S&P500,11/1/1959,58.279999
S&P500,12/1/1959,59.889999
S&P500,1/1/1960,55.610001
S&P500,2/1/1960,56.119999
S&P500,3/1/1960,55.34
S&P500,4/1/1960,54.369999
S&P500,5/1/1960,55.830002
S&P500,6/1/1960,56.919998
S&P500,7/1/1960,55.509998
S&P500,8/1/1960,56.959999
S&P500,9/1/1960,53.52
S&P500,10/1/1960,53.389999
S&P500,11/1/1960,55.540001
S&P500,12/1/1960,58.110001
S&P500,1/1/1961,61.779999
S&P500,2/1/1961,63.439999
S&P500,3/1/1961,65.059998
S&P500,4/1/1961,65.309998
S&P500,5/1/1961,66.559998
S&P500,6/1/1961,64.639999
S&P500,7/1/1961,66.760002
S&P500,8/1/1961,68.07
S&P500,9/1/1961,66.730003
S&P500,10/1/1961,68.620003
S&P500,11/1/1961,71.32
S&P500,12/1/1961,71.550003
S&P500,1/1/1962,68.839996
S&P500,2/1/1962,69.959999
S&P500,3/1/1962,69.550003
S&P500,4/1/1962,65.239998
S&P500,5/1/1962,59.630001
S&P500,6/1/1962,54.75
S&P500,7/1/1962,58.23
S&P500,8/1/1962,59.119999
S&P500,9/1/1962,56.27
S&P500,10/1/1962,56.52
S&P500,11/1/1962,62.259998
S&P500,12/1/1962,63.099998
S&P500,1/1/1963,66.199997
S&P500,2/1/1963,64.290001
S&P500,3/1/1963,66.57
S&P500,4/1/1963,69.800003
S&P500,5/1/1963,70.800003
S&P500,6/1/1963,69.370003
S&P500,7/1/1963,69.129997
S&P500,8/1/1963,72.5
S&P500,9/1/1963,71.699997
S&P500,10/1/1963,74.010002
S&P500,11/1/1963,73.230003
S&P500,12/1/1963,75.019997
S&P500,1/1/1964,77.040001
S&P500,2/1/1964,77.800003
S&P500,3/1/1964,78.980003
S&P500,4/1/1964,79.459999
S&P500,5/1/1964,80.370003
S&P500,6/1/1964,81.690002
S&P500,7/1/1964,83.18
S&P500,8/1/1964,81.830002
S&P500,9/1/1964,84.18
S&P500,10/1/1964,84.860001
S&P500,11/1/1964,84.419998
S&P500,12/1/1964,84.75
S&P500,1/1/1965,87.559998
S&P500,2/1/1965,87.43
S&P500,3/1/1965,86.160004
S&P500,4/1/1965,89.110001
S&P500,5/1/1965,88.419998
S&P500,6/1/1965,84.120003
S&P500,7/1/1965,85.25
S&P500,8/1/1965,87.169998
S&P500,9/1/1965,89.959999
S&P500,10/1/1965,92.419998
S&P500,11/1/1965,91.610001
